ID,age,condition,amplitude,freq
13,3,music,91740.63706,2.25
19,3,music,32711.57768,2.25
23,3,music,23366.05791,2.25
30,3,music,177042.5136,2.25
31,3,music,12379.02447,2.25
36,3,music,23743.96286,2.25
37,3,music,11791.93641,2.25
39,3,music,-78437.82992,2.25
43,3,music,258642.8428,2.25
45,3,music,-78956.27374,2.25
46,3,music,5169.313626,2.25
48,3,music,285338.7543,2.25
54,3,music,-51020.59147,2.25
60,3,music,-5537.875531,2.25
61,3,music,89659.48748,2.25
62,3,music,50505.83903,2.25
63,3,music,41232.92274,2.25
64,3,music,-11302.66685,2.25
65,3,music,-12289.69554,2.25
66,3,music,-35144.29504,2.25
68,3,music,-4578.514257,2.25
72,3,music,99666.35271,2.25
74,3,music,1249.572307,2.25
75,3,music,18238.45494,2.25
76,3,music,32826.07064,2.25
77,3,music,21940.6074,2.25
4,6,music,55793.32904,2.25
9,6,music,86754.96681,2.25
11,6,music,3867.406521,2.25
34,6,music,17210.76037,2.25
38,6,music,20498.20799,2.25
40,6,music,10040.58377,2.25
47,6,music,94299.74184,2.25
49,6,music,109278.0919,2.25
52,6,music,-3165.148802,2.25
78,6,music,230306.1523,2.25
79,6,music,31771.60903,2.25
81,6,music,-28920.75385,2.25
83,6,music,82618.94023,2.25
84,6,music,26208.42519,2.25
85,6,music,79469.87321,2.25
86,6,music,-9702.816187,2.25
87,6,music,23827.56073,2.25
89,6,music,22991.80385,2.25
90,6,music,58673.8356,2.25
91,6,music,63366.20595,2.25
92,6,music,1069.461571,2.25
93,6,music,5515.876342,2.25
94,6,music,136256.1844,2.25
95,6,music,11730.94322,2.25
96,6,music,-6430.995771,2.25
97,6,music,-1936.289029,2.25
1,12,music,18054.97893,2.25
6,12,music,-5995.627841,2.25
7,12,music,5358.376523,2.25
10,12,music,79297.8107,2.25
12,12,music,13072.8219,2.25
15,12,music,56829.4678,2.25
16,12,music,33758.11011,2.25
18,12,music,38545.68926,2.25
22,12,music,50475.06754,2.25
24,12,music,1416.373109,2.25
26,12,music,12960.05373,2.25
27,12,music,36288.28768,2.25
28,12,music,-36757.24869,2.25
29,12,music,15453.29563,2.25
33,12,music,-16060.92069,2.25
