ID,age,condition,power_1,power_2
13,3,music,11029.1085,5501.86716
19,3,music,-5132.343181,19430.20744
23,3,music,-7908.115081,-7081.250227
30,3,music,-5083.731577,28196.06042
31,3,music,121.8732202,12051.06664
36,3,music,-3605.379853,-4274.846341
37,3,music,15595.17393,-2913.818718
39,3,music,17838.71478,2775.99762
43,3,music,-9269.057174,-1991.645797
45,3,music,17033.31681,1631.825578
46,3,music,7441.926518,255.7710288
48,3,music,-7281.0241,24216.29515
54,3,music,-5995.960539,16328.81485
60,3,music,-9187.610296,-15019.62589
61,3,music,6077.524572,-4959.883602
62,3,music,1725.940079,10220.63525
63,3,music,-13255.29311,-19293.64145
64,3,music,-2661.777907,2861.849267
65,3,music,-330.8492931,5991.355712
66,3,music,-4499.190123,8396.492157
68,3,music,-1969.761456,22653.58491
72,3,music,-1948.32026,-4787.510135
74,3,music,-9514.201432,-1479.420043
75,3,music,7630.419774,18566.92901
76,3,music,7137.866879,-1000.25869
77,3,music,9663.121045,19234.36273
4,6,music,-474.0920087,21527.84956
9,6,music,-7450.506497,51190.02228
11,6,music,43565.06358,19431.42691
34,6,music,-568.722343,4665.329157
38,6,music,-3871.398132,-7817.874279
40,6,music,32356.38744,-21327.83539
47,6,music,113475.1279,-1818.418877
49,6,music,17898.84018,79311.86665
52,6,music,-11898.48346,-7222.003106
78,6,music,8375.842575,-6861.837768
79,6,music,-4707.549871,-5399.679799
81,6,music,-1453.253799,-7379.248909
83,6,music,-10923.83659,-5439.690976
84,6,music,1752.805434,12556.8956
85,6,music,11686.91141,7643.999472
86,6,music,-8958.067332,-37642.73759
87,6,music,-1868.969141,-20339.29012
89,6,music,-8205.303987,30381.85056
90,6,music,-8870.931592,-592.7811847
91,6,music,-1919.790271,-7269.137544
92,6,music,18171.20251,-4732.84538
93,6,music,-12201.98585,-16719.05497
94,6,music,-8050.207489,-4404.344957
95,6,music,19009.95283,8658.339517
96,6,music,1319.536628,-5464.427059
97,6,music,-14555.04985,358.5524844
1,12,music,5735.624682,-3726.530238
6,12,music,73225.88747,-10981.0568
7,12,music,-7678.22538,-1517.103275
10,12,music,24745.31372,-17669.24423
12,12,music,86342.023,53194.64118
15,12,music,16759.40997,31201.1115
16,12,music,17039.65296,19597.40205
18,12,music,7826.86999,27430.70954
22,12,music,-3878.5662,2804.22249
24,12,music,-5994.321471,-8287.574839
26,12,music,-9475.587896,-23637.07203
27,12,music,-7111.13894,26872.88373
28,12,music,-14563.39884,-12744.93955
29,12,music,-8636.55996,-2012.1751
33,12,music,10238.68036,1126.83328
35,12,music,-4767.614213,54661.79432
41,12,music,-14215.0156,31879.14424
50,12,music,-24339.03146,69244.70526
55,12,music,-13183.83986,-17248.62815
57,12,music,-5364.806501,17337.80246
58,12,music,65512.98483,33635.58773
59,12,music,-6240.487939,39834.82647
67,12,music,-2526.147086,-1869.930314
69,12,music,22121.15191,8478.645368
71,12,music,44709.2758,17117.32369
73,12,music,27953.12628,25111.40203
80,12,music,-44832.45556,-42911.16542
82,12,music,-14155.07713,-5234.796279
13,3,control,-1008.990715,-24078.38948
19,3,control,16959.92615,369.5503671
23,3,control,-8198.643125,-5222.207327
30,3,control,4492.22014,-1385.531791
31,3,control,-4871.51519,-5632.707674
36,3,control,-1358.300596,9092.42285
37,3,control,15434.17702,-3709.154737
39,3,control,-5916.711458,-6409.265353
43,3,control,-9857.739955,-1251.164146
45,3,control,24452.55308,15892.39705
46,3,control,985.7646291,-16673.79634
48,3,control,-3882.992909,-1248.728638
54,3,control,-4428.630272,36932.10924
60,3,control,-19204.41216,-12387.98916
61,3,control,11932.10713,-729.7049474
62,3,control,-3951.104211,-2387.351658
63,3,control,-2867.197699,-7605.004012
64,3,control,-1912.815789,5466.21196
65,3,control,-9643.886184,-12679.24979
66,3,control,-87.70102771,-5258.195828
68,3,control,10189.91174,582.2946175
72,3,control,-8771.06087,3782.353838
74,3,control,-15245.99662,5943.882312
75,3,control,-6256.922958,20579.93748
76,3,control,-12949.58543,2442.233231
77,3,control,-7170.913756,-6805.759798
4,6,control,-14809.83555,-18086.47719
9,6,control,14113.58968,6173.518161
11,6,control,-13200.8541,-9084.478608
34,6,control,-2466.142176,-2774.669916
38,6,control,13183.01457,-734.6983813
40,6,control,-8420.805884,-1867.589324
47,6,control,-18560.03321,-22381.27973
49,6,control,-10415.98985,18928.39583
52,6,control,-4056.57825,34236.07719
78,6,control,21471.70707,-6134.929392
79,6,control,-11195.89945,-5388.938663
81,6,control,-3090.923166,-4878.970713
83,6,control,-4152.235144,-5290.666959
84,6,control,-5923.848835,-4659.903134
85,6,control,5869.318216,-4304.444581
86,6,control,-16040.55244,35431.5561
87,6,control,-7482.594523,-155.1647973
89,6,control,5557.647291,455.8477047
90,6,control,31201.98921,5583.233116
91,6,control,4078.214174,-12724.51966
92,6,control,-3511.797647,-11394.63933
93,6,control,12517.25859,-7918.591223
94,6,control,12059.78315,7050.426926
